,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9단위* 5분,,,,,,,,,,,,,,,,,,,,,,,10단위,,,,,,,,,,,,,,,,,,,,,,,이격수,,,,,,,,,,,,15,,,15,,,,,,,,,,,,,,,,,,,,,,,
,16,20,26,36,42,44,,2,2,2,2,2,2,,0,6,,2,4,,2,4,,0,4,2,,,,,,,,,0,3,3,,0,1,2,1,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,0,1,2,1,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,4,6,10,6,2,,4,6,10,6,2,,2,2,2,2,2,,0,5,,2,3,,1,2,2,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,11,13,20,21,32,44,,1,1,2,1,2,2,,3,3,,4,2,,5,1,,2,3,1,,,,,,,,,2,2,2,,0,2,2,1,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,0,2,2,1,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,2,7,1,11,12,,2,7,1,11,12,,2,1,1,1,2,,3,2,,4,1,,3,1,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,10,16,19,32,33,38,,2,2,1,2,1,2,,2,4,,3,3,,2,4,,1,4,1,,,,,,,,,1,2,3,,0,2,1,2,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,0,3,0,3,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,6,3,13,1,5,,6,3,13,1,5,,2,1,1,1,1,,4,1,,4,1,,3,1,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,7,12,23,32,34,36,,1,2,1,2,2,2,,2,4,,3,3,,4,2,,2,2,2,,,,,,,,,2,1,3,,1,1,1,3,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,1,1,1,3,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,5,11,9,2,2,,5,11,9,2,2,,1,1,1,2,2,,3,2,,4,1,,4,0,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,15,16,17,25,30,31,,1,2,1,1,2,1,,4,2,,3,3,,3,3,,2,2,2,,,,,,,,,0,6,0,,0,3,1,2,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,0,3,1,2,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1,1,8,5,1,,1,1,8,5,1,,1,1,2,1,1,,4,1,,4,1,,1,4,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,3,4,9,30,33,36,,1,2,1,2,1,2,,3,3,,3,3,,3,3,,1,1,4,,,,,,,,,3,1,2,,3,0,0,3,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,3,0,0,3,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1,5,21,3,3,,1,5,21,3,3,,1,1,1,1,1,,5,0,,5,0,,3,1,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,11,13,14,15,16,45,,1,1,2,1,2,1,,4,2,,5,1,,5,1,,2,2,2,,,,,,,,,3,2,1,,0,5,0,0,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,0,5,0,0,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,2,1,1,1,29,,2,1,1,1,29,,2,1,1,1,1,,4,1,,4,1,,2,3,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,1,9,12,13,20,45,,1,1,2,1,2,1,,4,2,,5,1,,4,2,,1,2,3,,,,,,,,,4,1,1,,2,2,1,0,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,2,2,1,0,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,8,3,1,7,25,,8,3,1,7,25,,2,1,1,1,1,,4,1,,3,2,,2,3,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,2,19,26,31,38,41,,2,1,2,1,2,1,,3,3,,2,4,,3,3,,4,2,0,,,,,,,,,1,3,2,,1,0,2,1,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,1,1,1,2,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,17,7,5,7,3,,17,7,5,7,3,,1,1,1,1,1,,5,0,,2,3,,5,0,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,6,24,31,32,38,44,,2,2,1,2,2,2,,1,5,,1,5,,4,2,,1,3,2,,,,,,,,,1,2,3,,1,0,1,2,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,1,0,1,3,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,18,7,1,6,6,,18,7,1,6,6,,2,1,1,2,2,,2,3,,1,4,,1,1,3,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
,3,6,21,30,34,35,,1,2,1,2,2,1,,3,3,,3,3,,4,2,,1,2,3,,,,,,,,,2,2,2,,2,0,1,3,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,2,0,1,3,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,3,15,9,4,1,,3,15,9,4,1,,1,1,1,2,1,,4,1,,4,1,,1,2,2,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
